,features,loss,int_rep
1500,01000010010,0.5698813696420127,530
1096,01000010011,0.545116171963762,531
1438,01000010100,0.5661057944263976,532
940,01000010101,0.5340652960656643,533
1458,01000010110,0.5670278542933516,534
938,01000010111,0.5334086549232332,535
1389,01000011000,0.562537382830824,536
965,01000011001,0.53890749481115,537
1399,01000011010,0.563628943083147,538
993,01000011011,0.5406065233545058,539
1394,01000011100,0.5631475910857731,540
926,01000011101,0.5308243652914929,541
1382,01000011110,0.5618913333743702,542
887,01000011111,0.5295135993807627,543
895,01000100000,0.5296761670430156,544
570,01000100001,0.5020618849180062,545
898,01000100010,0.529729415298424,546
600,01000100011,0.5043769872265186,547
655,01000100100,0.5118255753072135,548
342,01000100101,0.4782506324740735,549
671,01000100110,0.5126122735915694,550
360,01000100111,0.4796884019926752,551
831,01000101000,0.5271798978279942,552
814,01000101001,0.5252523501050764,553
937,01000101010,0.5328838734086185,554
751,01000101011,0.5169903292217993,555
599,01000101100,0.5042629553585452,556
267,01000101101,0.474342413263688,557
598,01000101110,0.5042028506514614,558
277,01000101111,0.4751973273291124,559
1452,01000110000,0.5665181469892228,560
1038,01000110001,0.5432674647857674,561
1472,01000110010,0.5679559541059765,562
1081,01000110011,0.5446605654368671,563
1431,01000110100,0.5659271174949373,564
952,01000110101,0.5357879403175523,565
1432,01000110110,0.5659759597172581,566
944,01000110111,0.5345672690238946,567
1386,01000111000,0.5621738994172847,568
978,01000111001,0.539702787208807,569
1398,01000111010,0.5636065411821677,570
995,01000111011,0.5406668822006065,571
1379,01000111100,0.5618200629614574,572
925,01000111101,0.5308152929774941,573
1362,01000111110,0.5606816288635466,574
890,01000111111,0.5296351719260904,575
893,01001000000,0.5296733572478254,576
636,01001000001,0.5097923684507633,577
884,01001000010,0.5293576641671661,578
645,01001000011,0.5105430251769449,579
589,01001000100,0.5033373505964838,580
322,01001000101,0.477188529702607,581
573,01001000110,0.5023650324459509,582
338,01001000111,0.4780669275651422,583
1107,01001001000,0.5455558127900243,584
829,01001001001,0.5268332760108134,585
941,01001001010,0.5340873386669733,586
785,01001001011,0.5223252901971788,587
530,01001001100,0.4967007704280474,588
271,01001001101,0.4745855222618143,589
535,01001001110,0.497213623242161,590
286,01001001111,0.4755832719821669,591
1401,01001010000,0.563957615203103,592
1043,01001010001,0.5436431921687817,593
1428,01001010010,0.5658348867554684,594
1077,01001010011,0.5445278347690568,595
1313,01001010100,0.557300536181237,596
852,01001010101,0.5277194335135713,597
1322,01001010110,0.5581202830823679,598
859,01001010111,0.528073943580953,599
1375,01001011000,0.5615896694160362,600
968,01001011001,0.5391379859312928,601
1391,01001011010,0.5626525541063688,602
984,01001011011,0.5400310185923151,603
1243,01001011100,0.5538577142458928,604
