features,loss
0001010011101,0.46217227
0001010011110,0.46441948
0001010011111,0.46404493
0001010100000,0.547191
0001010100001,0.48501873
0001010100010,0.5048689
0001010100011,0.46441948
0001010100100,0.49438202
0001010100101,0.47415727
0001010100110,0.48277152
0001010100111,0.4483146
0001010101000,0.47041196
0001010101001,0.4659176
0001010101010,0.4659176
0001010101011,0.45168537
0001010101100,0.48202246
0001010101101,0.46441948
0001010101110,0.46666664
0001010101111,0.46179777
0001010110000,0.4797753
0001010110001,0.4340824
0001010110010,0.4707865
0001010110011,0.459176
0001010110100,0.47378278
0001010110101,0.44232208
0001010110110,0.4460674
0001010110111,0.4498127
0001010111000,0.47041196
0001010111001,0.44756556
0001010111010,0.4707865
0001010111011,0.45243448
0001010111100,0.45280898
0001010111101,0.4659176
0001010111110,0.47827715
0001010111111,0.4494382
0001011000000,0.5168539
0001011000001,0.4853933
0001011000010,0.49662924
0001011000011,0.45580524
0001011000100,0.5104869
0001011000101,0.47228462
0001011000110,0.4456929
0001011000111,0.4340824
0001011001000,0.52209735
0001011001001,0.4786517
0001011001010,0.4973783
0001011001011,0.44119853
0001011001100,0.49288392
0001011001101,0.48239702
0001011001110,0.46292132
0001011001111,0.46404493
0001011010000,0.48576778
0001011010001,0.4786517
0001011010010,0.4681648
0001011010011,0.44194758
0001011010100,0.48764044
0001011010101,0.4692884
0001011010110,0.44531834
0001011010111,0.45056182
0001011011000,0.48389512
0001011011001,0.47041196
0001011011010,0.46179777
0001011011011,0.4483146
0001011011100,0.48651683
0001011011101,0.47415727
0001011011110,0.4456929
0001011011111,0.44494385
0001011100000,0.53445697
0001011100001,0.48464417
0001011100010,0.49138576
0001011100011,0.46404493
0001011100100,0.49026215
0001011100101,0.4655431
0001011100110,0.4696629
0001011100111,0.4670412
0001011101000,0.46779025
0001011101001,0.46367043
0001011101010,0.4685393
0001011101011,0.45992512
0001011101100,0.47340822
0001011101101,0.46404493
0001011101110,0.47378278
0001011101111,0.44269663
0001011110000,0.48314607
0001011110001,0.46217227
0001011110010,0.47303373
0001011110011,0.46217227
0001011110100,0.46741575
0001011110101,0.46516854
0001011110110,0.46629214
0001011110111,0.45168537
0001011111000,0.47790265
0001011111001,0.4681648
0001011111010,0.45805246
0001011111011,0.46142322
0001011111100,0.46891385
0001011111101,0.47453183
0001011111110,0.46217227
0001011111111,0.44906366
0001100000000,0.57228464
0001100000001,0.5093633
0001100000010,0.4988764
0001100000011,0.4812734
0001100000100,0.53483146
0001100000101,0.4696629
0001100000110,0.48764044
0001100000111,0.4565543
0001100001000,0.51498127
0001100001001,0.48164797
0001100001010,0.49026215
0001100001011,0.46779025
0001100001100,0.49925095
0001100001101,0.46367043
0001100001110,0.4891386
0001100001111,0.4576779
0001100010000,0.5161049
0001100010001,0.47191012
